Status,Status (Successful),Category,Qty,Amount,ship-postal-code
Cancelled,False,Set,0,647.62,400081
Cancelled,False,Western Dress,0,753.33,605008
Cancelled,False,Set,0,,500008
Cancelled,False,Set,0,570.48,411044
Cancelled,False,Kurta,0,,781003
Cancelled,False,Kurta,0,,389151
Cancelled,False,Set,0,1105.36,248001
Cancelled,False,Kurta,0,,500072
Cancelled,False,Kurta,0,,411046
Cancelled,False,Set,0,,110036
Cancelled,False,Western Dress,1,791.0,383001
Cancelled,False,Western Dress,1,807.0,383001
Cancelled,False,Western Dress,1,807.0,383001
Cancelled,False,Set,0,,563101
Cancelled,False,Top,0,,276302
Cancelled,False,Kurta,0,,752002
Cancelled,False,Kurta,0,,632513
Cancelled,False,Top,0,463.81,560087
Cancelled,False,Set,1,626.0,560037
Cancelled,False,Set,1,597.0,421306
Cancelled,False,Set,1,654.0,570016
Cancelled,False,Top,0,,180007
Cancelled,False,Western Dress,0,,201014
Cancelled,False,Set,0,1249.11,122001
Cancelled,False,Set,0,1058.93,122001
Cancelled,False,Top,0,,444105
Cancelled,False,Kurta,0,,560036
Cancelled,False,Kurta,0,,560036
Cancelled,False,Set,0,1278.57,828111
Cancelled,False,Set,0,995.54,560067
Cancelled,False,Set,0,,800001
Cancelled,False,Set,1,597.0,560042
Cancelled,False,Western Dress,1,744.0,480661
Cancelled,False,Kurta,1,475.0,451224
Cancelled,False,Set,0,1902.86,241001
Cancelled,False,Kurta,0,473.33,110074
Cancelled,False,Set,0,,503111
Cancelled,False,Kurta,1,475.0,454552
Cancelled,False,Set,1,654.0,570016
Cancelled,False,Western Dress,1,791.0,560037
Cancelled,False,Set,1,654.0,570016
Cancelled,False,Set,1,899.0,201301
Cancelled,False,Set,0,,263642
Cancelled,False,Kurta,0,344.76,222001
Cancelled,False,Set,0,,413001
Cancelled,False,Western Dress,0,734.29,500056
Cancelled,False,Western Dress,0,,411019
Cancelled,False,Kurta,0,437.14,600091
Cancelled,False,Set,1,824.0,605008
Cancelled,False,Kurta,1,363.0,560036
Cancelled,False,Kurta,0,,444101
Cancelled,False,Set,0,570.48,400101
Cancelled,False,Kurta,0,,632004
Cancelled,False,Kurta,0,,682301
Cancelled,False,Set,0,,781120
Cancelled,False,Kurta,1,435.0,500090
Cancelled,False,Kurta,1,399.0,562101
Cancelled,False,Kurta,1,399.0,400078
Cancelled,False,Kurta,0,,401107
Cancelled,False,Western Dress,0,,497235
Cancelled,False,Kurta,0,,201012
Cancelled,False,Kurta,0,,413701
Cancelled,False,Kurta,0,570.48,506330
Cancelled,False,Kurta,0,,768004
Cancelled,False,Kurta,0,,390011
Cancelled,False,Set,0,,575002
Cancelled,False,Kurta,1,471.0,560043
Cancelled,False,Kurta,0,386.67,560043
Cancelled,False,Kurta,0,452.38,800026
Cancelled,False,Set,0,,400042
Cancelled,False,Set,0,,124001
Cancelled,False,Western Dress,1,588.0,530016
Cancelled,False,Kurta,0,,203205
Cancelled,False,Western Dress,1,899.0,570001
Cancelled,False,Set,0,,143516
Cancelled,False,Set,0,,403802
Cancelled,False,Set,1,999.0,201009
Cancelled,False,Set,0,,500098
Cancelled,False,Kurta,1,329.0,632004
Cancelled,False,Kurta,1,318.0,632004
Cancelled,False,Set,1,597.0,689698
Cancelled,False,Set,1,1112.0,847201
Cancelled,False,Set,0,,827012
Cancelled,False,Kurta,0,,303905
Cancelled,False,Kurta,0,,303905
Cancelled,False,Set,0,,122002
Cancelled,False,Kurta,0,,401101
Cancelled,False,Kurta,0,358.1,641062
Cancelled,False,Set,0,,846003
