Status,Status (Successful),Qty,Amount,ship-city,ship-state,ship-postal-code
Cancelled,False,0,647.62,MUMBAI,MAHARASHTRA,400081.0
Cancelled,False,0,753.33,PUDUCHERRY,PUDUCHERRY,605008.0
Cancelled,False,0,,HYDERABAD,HYDERABAD,500008.0
Cancelled,False,0,570.48,PUNE,MAHARASHTRA,411044.0
Cancelled,False,0,,GUWAHATI,ASSAM,781003.0
Cancelled,False,0,,DAHOD,GUJARAT,389151.0
Cancelled,False,0,1105.36,DEHRADUN,UTTARAKHAND,248001.0
Cancelled,False,0,,HYDERABAD,HYDERABAD,500072.0
Cancelled,False,0,,PUNE,MAHARASHTRA,411046.0
Cancelled,False,0,,NEW DELHI,DELHI,110036.0
Cancelled,False,1,791.0,HIMMATNAGAR,GUJARAT,383001.0
Cancelled,False,1,807.0,HIMMATNAGAR,GUJARAT,383001.0
Cancelled,False,1,807.0,HIMMATNAGAR,GUJARAT,383001.0
Cancelled,False,0,,KOLAR,KARNATAKA,563101.0
Cancelled,False,0,,AZAMGARH,UTTAR PRADESH,276302.0
Cancelled,False,0,,PURI-2,ODISHA,752002.0
Cancelled,False,0,,WALAJAPET,TAMIL NADU,632513.0
Cancelled,False,0,463.81,BENGALURU,KARNATAKA,560087.0
Cancelled,False,1,626.0,BENGALURU,KARNATAKA,560037.0
Cancelled,False,1,597.0,KALYAN,MAHARASHTRA,421306.0
Cancelled,False,1,654.0,MYSURU,KARNATAKA,570016.0
Cancelled,False,0,,JAMMU,JAMMU & KASHMIR,180007.0
Cancelled,False,0,,GHAZIABAD,UTTAR PRADESH,201014.0
Cancelled,False,0,1249.11,GURUGRAM,HARYANA,122001.0
Cancelled,False,0,1058.93,GURUGRAM,HARYANA,122001.0
Cancelled,False,0,,KARANJA,MAHARASHTRA,444105.0
Cancelled,False,1,1115.0,COOCH BEHAR,WEST BENGAL,736101.0
Cancelled,False,0,,BENGALURU,KARNATAKA,560036.0
Cancelled,False,0,,BENGALURU,KARNATAKA,560036.0
Cancelled,False,0,1278.57,JHARIA KHAS,JHARKHAND,828111.0
Cancelled,False,0,995.54,BENGALURU,KARNATAKA,560067.0
Cancelled,False,0,,PATNA,BIHAR,800001.0
Cancelled,False,1,597.0,BENGALURU,KARNATAKA,560042.0
Cancelled,False,1,744.0,SEONI,MADHYA PRADESH,480661.0
Cancelled,False,1,475.0,MAHESHWAR,MADHYA PRADESH,451224.0
Cancelled,False,0,1902.86,HARDOI,UTTAR PRADESH,241001.0
Cancelled,False,0,473.33,NEW DELHI,DELHI,110074.0
Cancelled,False,0,,KAMAREDDY,HYDERABAD,503111.0
Cancelled,False,1,475.0,DHAMNOD DHAR DISTRICT,MADHYA PRADESH,454552.0
Cancelled,False,1,654.0,MYSURU,KARNATAKA,570016.0
Cancelled,False,1,791.0,BENGALURU,KARNATAKA,560037.0
Cancelled,False,1,654.0,MYSURU,KARNATAKA,570016.0
Cancelled,False,1,899.0,NOIDA,UTTAR PRADESH,201301.0
Cancelled,False,0,,BAGESHWAR,UTTARAKHAND,263642.0
Cancelled,False,1,0.0,NEW DELHI,DELHI,110096.0
Cancelled,False,0,344.76,JAUNPUR,UTTAR PRADESH,222001.0
Cancelled,False,0,,SOLAPUR,MAHARASHTRA,413001.0
Cancelled,False,0,734.29,HYDERABAD,HYDERABAD,500056.0
Cancelled,False,0,,"CHINCHWAD ,PUNE",MAHARASHTRA,411019.0
Cancelled,False,0,437.14,CHENNAI,TAMIL NADU,600091.0
Cancelled,False,1,824.0,PUDUCHERRY,PUDUCHERRY,605008.0
Cancelled,False,1,363.0,BENGALURU,KARNATAKA,560036.0
Cancelled,False,0,,AKOLA,MAHARASHTRA,444101.0
Cancelled,False,1,568.0,RAMANAGARA,KARNATAKA,562159.0
