Status,Status (Successful),Qty,Amount,ship-city,ship-state,ship-postal-code
Delivered,True,1,406.0,BENGALURU,KARNATAKA,560085.0
Delivered,True,1,399.0,HYDERABAD,HYDERABAD,500032.0
Delivered,True,1,399.0,AMRAVATI.,MAHARASHTRA,444606.0
Delivered,True,1,771.0,MUMBAI,MAHARASHTRA,400053.0
Delivered,True,1,544.0,GUNTAKAL,ANDHRA PRADESH,515801.0
Delivered,True,1,458.0,GURGAON,HARYANA,122004.0
Delivered,True,1,582.0,RANCHI,JHARKHAND,834002.0
Delivered,True,1,299.0,BILASPUR,CHHATTISGARH,495001.0
Delivered,True,1,1233.0,VISAKHAPATNAM,ANDHRA PRADESH,530016.0
Delivered,True,1,517.0,JEYPUR,ODISHA,764001.0
Delivered,True,1,499.0,LUCKNOW,UTTAR PRADESH,226016.0
Delivered,True,1,424.0,MUMBAI,MAHARASHTRA,400092.0
Delivered,True,1,399.0,KEWALPUR,UTTAR PRADESH,271881.0
Delivered,True,1,599.0,BENGALURU,KARNATAKA,560023.0
Delivered,True,1,696.0,CHENNAI,TAMIL NADU,600041.0
Delivered,True,1,631.0,BANGALORE,KARNATAKA,560001.0
Delivered,True,1,362.0,BERHAMPUR,ODISHA,760002.0
Delivered,True,1,377.0,KOLKATA,WEST BENGAL,700078.0
Delivered,True,1,859.0,JAIPUR,RAJASTHAN,303905.0
Delivered,True,1,725.0,CHENNAI,TAMIL NADU,600028.0
Delivered,True,1,1338.0,AMBARNATH,MAHARASHTRA,421502.0
Delivered,True,1,472.0,GWALIOR,MADHYA PRADESH,474005.0
Delivered,True,1,832.0,ROHTAK,HARYANA,124001.0
Delivered,True,1,399.0,ROHTAK,HARYANA,124001.0
Delivered,True,1,518.0,MUMBAI,MAHARASHTRA,400076.0
Delivered,True,1,597.0,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0
Delivered,True,1,549.0,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0
Delivered,True,1,579.0,BENGALURU,KARNATAKA,560055.0
Delivered,True,1,788.0,CHIRMIRI,CHHATTISGARH,497449.0
Delivered,True,1,1399.0,BARABANKI,UTTAR PRADESH,225001.0
Delivered,True,1,999.0,AMILA,UTTAR PRADESH,275301.0
Delivered,True,1,376.0,TIRUCHIRAPPALLI,TAMIL NADU,620018.0
Delivered,True,1,353.0,PARAVUR,KERALA,683513.0
Delivered,True,1,399.0,BASTI,UTTAR PRADESH,272001.0
Delivered,True,1,399.0,MAHENDRAGARH,HARYANA,123027.0
Delivered,True,1,399.0,BENGALURU,KARNATAKA,560022.0
Delivered,True,1,387.0,VASAI VIRAR,MAHARASHTRA,401202.0
Delivered,True,1,583.0,NEW TOWN,WEST BENGAL,700059.0
Delivered,True,1,744.0,CHENNAI,TAMIL NADU,600117.0
Delivered,True,1,497.0,NEW DELHI,DELHI,110074.0
Delivered,True,1,0.0,BHUBANESWAR,ODISHA,752054.0
Delivered,True,1,399.0,PUNE,MAHARASHTRA,412207.0
Delivered,True,1,725.0,GAYA,BIHAR,823001.0
Delivered,True,1,999.0,BENGALURU,KARNATAKA,560102.0
Delivered,True,1,295.0,BENGALURU,KARNATAKA,560100.0
Delivered,True,1,499.0,PUNE,MAHARASHTRA,411037.0
Delivered,True,1,791.0,DEHRADUN,UTTARAKHAND,248009.0
Delivered,True,1,533.0,SECUNDERABAD,HYDERABAD,500010.0
Delivered,True,1,563.0,NAGPUR,MAHARASHTRA,440036.0
Delivered,True,1,458.0,BERHAMPORE,WEST BENGAL,742103.0
Delivered,True,1,1099.0,MUMBAI,MAHARASHTRA,400101.0
Delivered,True,1,459.0,LUCKNOW,UTTAR PRADESH,226010.0
Delivered,True,1,339.0,HYDERABAD,HYDERABAD,500001.0
Delivered,True,1,888.0,BARUIPUR,WEST BENGAL,700145.0
Delivered,True,1,487.0,KENDRAPARA,ODISHA,754211.0
Delivered,True,1,487.0,BENGALURU,KARNATAKA,560010.0
Delivered,True,1,1233.0,HYDERABAD,HYDERABAD,500089.0
Delivered,True,1,825.0,BENGALURU,KARNATAKA,560068.0
Delivered,True,1,471.0,CHANDI MANDIR,HARYANA,134107.0
Delivered,True,1,342.0,UJJAIN,MADHYA PRADESH,456010.0
Delivered,True,1,725.0,HYDERABAD,HYDERABAD,500073.0
Delivered,True,1,759.0,SHILLONG,MEGHALAYA,793008.0
Delivered,True,1,744.0,GURUGRAM,HARYANA,122018.0
Delivered,True,1,459.0,ALLAHABAD,UTTAR PRADESH,211004.0
Delivered,True,1,471.0,TRIVANDRUM,KERALA,695003.0
Delivered,True,1,544.0,BENGALURU,KARNATAKA,560072.0
Delivered,True,1,885.0,SIBSAGAR,ASSAM,785667.0
Delivered,True,1,505.0,PATHANAPURAM,KERALA,689695.0
Delivered,True,1,666.0,PUNE,MAHARASHTRA,411047.0
Delivered,True,1,399.0,MAHBUBNAGAR,HYDERABAD,509001.0
Delivered,True,1,432.0,NK SWEETS VIKASNAGAR,UTTARAKHAND,248198.0
Delivered,True,1,0.0,LUDHIANA,PUNJAB,141001.0
Delivered,True,1,725.0,HYDERABAD,HYDERABAD,500094.0
Delivered,True,1,353.0,SHILLONG,MEGHALAYA,793022.0
Delivered,True,1,568.0,RAMANAGARA,KARNATAKA,562159.0
Delivered,True,1,399.0,KHAMMAM,HYDERABAD,507003.0
Delivered,True,1,0.0,AURANGABAD,MAHARASHTRA,431002.0
Delivered,True,1,631.0,PUNE,MAHARASHTRA,411014.0
Delivered,True,1,399.0,NOIDA,UTTAR PRADESH,201301.0
Delivered,True,1,329.0,LUDHIANA,PUNJAB,141012.0
Delivered,True,1,549.0,BENGALURU,KARNATAKA,560078.0
Delivered,True,1,599.0,HYDERABAD,HYDERABAD,500067.0
Delivered,True,1,533.0,HYDERABAD,HYDERABAD,500075.0
Delivered,True,1,362.0,MUMBAI,MAHARASHTRA,400095.0
Delivered,True,1,563.0,KALYAN,MAHARASHTRA,421004.0
Delivered,True,1,549.0,ALMORA,UTTARAKHAND,263601.0
Delivered,True,1,319.0,CHENNAI,TAMIL NADU,600089.0
Delivered,True,1,463.0,WARANGAL,HYDERABAD,506001.0
Delivered,True,1,471.0,BENGALURU,KARNATAKA,560021.0
Delivered,True,1,625.0,PUNE,MAHARASHTRA,411001.0
Delivered,True,1,518.0,NEW DELHI,DELHI,110075.0
Delivered,True,1,364.0,THANE,MAHARASHTRA,400615.0
Delivered,True,1,825.0,AHMEDABAD,GUJARAT,380054.0
Delivered,True,1,568.0,JHAJJAR,HARYANA,124103.0
Delivered,True,1,1099.0,JANIPUR,JAMMU & KASHMIR,180007.0
Delivered,True,1,696.0,BASSEIN,MAHARASHTRA,401201.0
Delivered,True,1,499.0,AMBASAMUDRAM,TAMIL NADU,627401.0
Delivered,True,1,487.0,CHENNAI,TAMIL NADU,600002.0
Delivered,True,1,363.0,CHENNAI,TAMIL NADU,600002.0
Delivered,True,1,562.0,BENGALURU,KARNATAKA,560078.0
Delivered,True,1,1249.0,INDORE,MADHYA PRADESH,452010.0
Delivered,True,1,759.0,NEW DELHI,DELHI,110092.0
Delivered,True,1,888.0,NOIDA,UTTAR PRADESH,201301.0
Delivered,True,1,487.0,HYDERABAD,HYDERABAD,502319.0
Delivered,True,1,597.0,HYDERABAD,HYDERABAD,502319.0
Delivered,True,1,363.0,BENGALURU,KARNATAKA,560033.0
Delivered,True,1,788.0,SHILLONG,MEGHALAYA,793018.0
Delivered,True,1,662.0,VIJAYAWADA,ANDHRA PRADESH,520015.0
Delivered,True,1,316.0,DHARWAD,KARNATAKA,580003.0
Delivered,True,1,1099.0,HYDERABAD,HYDERABAD,500015.0
Delivered,True,1,362.0,DIU,DADRA,362570.0
Delivered,True,1,342.0,DIU,DADRA,362570.0
Delivered,True,1,363.0,DIU,DADRA,362570.0
Delivered,True,1,329.0,NEW DELHI,DELHI,110092.0
Delivered,True,1,399.0,DEGANGA,WEST BENGAL,743438.0
Delivered,True,1,0.0,KARIMGANJ,ASSAM,788710.0
Delivered,True,1,471.0,AHMEDABAD,GUJARAT,382340.0
Delivered,True,1,399.0,HYDERABAD,HYDERABAD,500067.0
Delivered,True,1,666.0,LONI KALBHOR,MAHARASHTRA,412201.0
Delivered,True,1,1173.0,KATIHAR,BIHAR,855102.0
Delivered,True,1,459.0,BENGALURU,KARNATAKA,560086.0
Delivered,True,1,692.0,AHMEDABAD,GUJARAT,382481.0
Delivered,True,1,363.0,CHENNAI,TAMIL NADU,600078.0
Delivered,True,1,666.0,PUNE,MAHARASHTRA,411024.0
Delivered,True,1,696.0,HYDERABAD,HYDERABAD,500085.0
Delivered,True,1,1199.0,SATNA,MADHYA PRADESH,485001.0
Delivered,True,1,568.0,MADURAI,TAMIL NADU,625007.0
