ship-state,Lat,Lng
MAHARASHTRA,19.5,75.0
KARNATAKA,13.5,76.0
PUDUCHERRY,11.9333,79.8167
HYDERABAD,17.3753,78.4744
ANDHRA PRADESH,16.0,79.0
HARYANA,29.0,76.0
JHARKHAND,23.75,85.5
CHHATTISGARH,21.5,82.0
ASSAM,26.0,93.0
ODISHA,20.5,84.4167
UTTAR PRADESH,27.25,80.75
GUJARAT,23.0,72.0
TAMIL NADU,11.0,78.0
UTTARAKHAND,30.25,79.25
WEST BENGAL,24.0,88.0
RAJASTHAN,26.0,74.0
DELHI,28.6667,77.2167
MADHYA PRADESH,23.5,78.5
KERALA,10.0,76.5
JAMMU & KASHMIR,32.7333,74.8667
BIHAR,47.15,21.9167
MEGHALAYA,25.5,91.3333
PUNJAB,30.8602,72.3198
GOA,15.3333,74.0833
DADRA,20.3228,72.9652
HIMACHAL PRADESH,31.0,78.0
TRIPURA,24.0,92.0
CHANDIGARH,30.7343,76.7933
SIKKIM,27.75,88.5
ANDAMAN,-3.198,114.4621
MANIPUR,25.0,94.0
MIZORAM,23.0,93.0
NAGALAND,26.0,94.25
NEW DELHI,28.6128,77.2311
ARUNACHAL PRADESH,28.0,94.5
LEH,34.1667,77.5833
KAVARATTI,10.5669,72.642
APO,19.4269,-102.4107
